raceSpace,titleSpace,candidateSpace,iteration,raceIndex,raceLength,column,yPos,votedOn
5,20,15,12,12,4,2,220,10
5,20,15,12,13,3,2,305,-1
5,20,15,12,14,3,2,375,13
5,20,15,12,15,2,2,445,16
5,20,15,12,16,1,2,500,-1
5,20,15,12,17,1,2,540,19
5,20,15,12,18,3,3,10,2
5,20,15,12,19,3,3,80,5
5,20,15,12,20,1,3,150,8
5,20,15,12,21,2,3,190,-1
5,20,15,12,22,1,3,245,11
5,20,15,12,23,2,3,285,-1
5,20,15,12,24,3,3,340,-1
5,20,15,12,25,2,3,410,14
5,20,15,12,26,4,3,465,17
5,20,15,12,27,1,3,550,20
5,20,15,13,0,1,1,10,0
5,20,15,13,1,1,1,50,3
5,20,15,13,2,1,1,90,6
5,20,15,13,3,4,1,130,-1
5,20,15,13,4,2,1,215,8
5,20,15,13,5,4,1,270,-1
5,20,15,13,6,3,1,355,11
5,20,15,13,7,1,1,425,14
5,20,15,13,8,2,1,465,17
5,20,15,13,9,1,1,520,-1
5,20,15,13,10,1,1,560,20
5,20,15,13,11,1,2,10,1
5,20,15,13,12,2,2,50,4
5,20,15,13,13,3,2,105,7
5,20,15,13,14,3,2,175,-1
5,20,15,13,15,4,2,245,9
5,20,15,13,16,4,2,330,12
5,20,15,13,17,3,2,415,15
5,20,15,13,18,3,2,485,18
5,20,15,13,19,2,3,10,2
5,20,15,13,20,4,3,65,5
5,20,15,13,21,3,3,150,-1
5,20,15,13,22,1,3,220,-1
5,20,15,13,23,4,3,260,10
5,20,15,13,24,1,3,345,13
5,20,15,13,25,2,3,385,-1
5,20,15,13,26,4,3,440,16
5,20,15,13,27,3,3,525,19
5,20,15,14,0,3,1,10,0
5,20,15,14,1,1,1,80,3
5,20,15,14,2,2,1,120,-1
5,20,15,14,3,1,1,175,6
5,20,15,14,4,2,1,215,-1
5,20,15,14,5,3,1,270,-1
5,20,15,14,6,3,1,340,9
5,20,15,14,7,2,1,410,12
5,20,15,14,8,1,1,465,15
5,20,15,14,9,1,1,505,-1
5,20,15,14,10,4,2,10,1
5,20,15,14,11,1,2,95,4
5,20,15,14,12,3,2,135,-1
5,20,15,14,13,3,2,205,7
5,20,15,14,14,3,2,275,-1
5,20,15,14,15,2,2,345,10
5,20,15,14,16,4,2,400,13
5,20,15,14,17,3,2,485,16
5,20,15,14,18,2,3,10,2
5,20,15,14,19,2,3,65,-1
5,20,15,14,20,1,3,120,5
5,20,15,14,21,4,3,160,-1
5,20,15,14,22,3,3,245,8
5,20,15,14,23,1,3,315,-1
5,20,15,14,24,1,3,355,11
5,20,15,14,25,1,3,395,14
5,20,15,14,26,2,3,435,-1
